"Date","Open","High","Low","Close","Volume"
"3/10/23",234.089996,236.270004,227.259995,229.649994,47486600
"3/13/23",227.520004,232.979996,222.970001,229.660004,42189000
"3/14/23",234.960007,242.190002,234.600006,240.630005,47491000
"3/15/23",237.610001,242.860001,233.600006,242.279999,52448600
"3/16/23",240.270004,255.880005,238.940002,255.410004,58325300
"3/17/23",259.820007,263.98999,256.679993,257.25,84854700
"3/20/23",256.149994,260.23999,251.300003,259,43274700
"3/21/23",261.799988,263.920013,253.809998,261.98999,54740800
"3/22/23",264.25,275.890015,262.369995,264.679993,79729500
"3/23/23",271.149994,274.98999,266.899994,271.910004,56488900
"3/24/23",270.309998,271.670013,263.549988,267.790009,45492000
"3/27/23",268.369995,270,263.649994,265.309998,36102600
"3/28/23",264.470001,265.130005,258.5,264.100006,35610400
"3/29/23",268.25,270.779999,265.970001,269.839996,39369400
"3/30/23",272.290009,274.98999,271.019989,273.829987,36451600
"3/31/23",271.399994,278.339996,271.049988,277.769989,43393300
"4/3/23",275.089996,280,273.359985,279.649994,39871600
"4/4/23",279.660004,280,273.070007,274.529999,36859200
"4/5/23",268.290009,269.980011,263.950012,268.809998,51501500
"4/6/23",265.839996,270.799988,264.269989,270.369995,39765400
"4/10/23",268.230011,276.209991,266.690002,275.790009,39527900
"4/11/23",277.23999,277.899994,271.26001,271.690002,31437800
"4/12/23",273.700012,274.679993,264.480011,264.950012,44625900
"4/13/23",267.339996,268.869995,263.290009,264.630005,35361500
"4/14/23",265.040009,268.829987,262.200012,267.579987,39566000
"4/17/23",265.649994,270.059998,264.329987,270.019989,32147100
"4/18/23",275.329987,281.100006,273.570007,276.670013,60481200
"4/19/23",273.609985,280,272.320007,279.309998,35866000
"4/20/23",276.709991,280.299988,270,271.040009,42771300
"4/21/23",269.519989,271.829987,267.220001,271.190002,34510300
"4/24/23",270.130005,273.660004,266.709991,270.420013,33928200
"4/25/23",270.779999,272.470001,262.25,262.410004,37852700
"4/26/23",270.019989,273.299988,267.049988,269.559998,40633700
"4/27/23",273.630005,274.950012,266.25,272.26001,37716100
"4/28/23",272.25,277.579987,270.709991,277.48999,29168700
"5/1/23",278.399994,290.579987,277.799988,289.100006,57032900
"5/2/23",286.799988,288.359985,280.829987,282.100006,40273000
"5/3/23",278.399994,283.670013,274.720001,278.019989,38338700
"5/4/23",276.51001,278.589996,272.399994,275.619995,32185000
